tianding = 165, fangwei = 150, ab = 0.258821, y = -0.965925, x = 0.224146, z = 0.129411
tianding = 165, fangwei = 157.5, ab = 0.258821, y = -0.965925, x = 0.23912, z = 0.0990472
tianding = 165, fangwei = 165, ab = 0.258821, y = -0.965925, x = 0.250002, z = 0.0669885
tianding = 165, fangwei = 172.5, ab = 0.258821, y = -0.965925, x = 0.256607, z = 0.0337836
tianding = 165, fangwei = 180, ab = 0.258821, y = -0.965925, x = 0.258821, z = 6.56159e-07
tianding = 165, fangwei = 187.5, ab = 0.258821, y = -0.965925, x = 0.256607, z = -0.0337823
tianding = 165, fangwei = 195, ab = 0.258821, y = -0.965925, x = 0.250002, z = -0.0669872
tianding = 165, fangwei = 202.5, ab = 0.258821, y = -0.965925, x = 0.23912, z = -0.099046
tianding = 165, fangwei = 210, ab = 0.258821, y = -0.965925, x = 0.224146, z = -0.12941
tianding = 165, fangwei = 217.5, ab = 0.258821, y = -0.965925, x = 0.205337, z = -0.15756
tianding = 165, fangwei = 225, ab = 0.258821, y = -0.965925, x = 0.183015, z = -0.183014
tianding = 165, fangwei = 232.5, ab = 0.258821, y = -0.965925, x = 0.157561, z = -0.205336
tianding = 165, fangwei = 240, ab = 0.258821, y = -0.965925, x = 0.129411, z = -0.224145
tianding = 165, fangwei = 247.5, ab = 0.258821, y = -0.965925, x = 0.0990475, z = -0.239119
tianding = 165, fangwei = 255, ab = 0.258821, y = -0.965925, x = 0.0669888, z = -0.250002
tianding = 165, fangwei = 262.5, ab = 0.258821, y = -0.965925, x = 0.0337839, z = -0.256607
tianding = 165, fangwei = 270, ab = 0.258821, y = -0.965925, x = 9.84239e-07, z = -0.258821
tianding = 165, fangwei = 277.5, ab = 0.258821, y = -0.965925, x = -0.0337819, z = -0.256607
tianding = 165, fangwei = 285, ab = 0.258821, y = -0.965925, x = -0.0669869, z = -0.250003
tianding = 165, fangwei = 292.5, ab = 0.258821, y = -0.965925, x = -0.0990457, z = -0.23912
tianding = 165, fangwei = 300, ab = 0.258821, y = -0.965925, x = -0.12941, z = -0.224146
tianding = 165, fangwei = 307.5, ab = 0.258821, y = -0.965925, x = -0.15756, z = -0.205338
tianding = 165, fangwei = 315, ab = 0.258821, y = -0.965925, x = -0.183014, z = -0.183015
tianding = 165, fangwei = 322.5, ab = 0.258821, y = -0.965925, x = -0.205336, z = -0.157561
tianding = 165, fangwei = 330, ab = 0.258821, y = -0.965925, x = -0.224145, z = -0.129412
tianding = 165, fangwei = 337.5, ab = 0.258821, y = -0.965925, x = -0.239119, z = -0.0990479
tianding = 165, fangwei = 345, ab = 0.258821, y = -0.965925, x = -0.250002, z = -0.066989
tianding = 165, fangwei = 352.5, ab = 0.258821, y = -0.965925, x = -0.256607, z = -0.0337842
tianding = 165, fangwei = 360, ab = 0.258821, y = -0.965925, x = -0.258821, z = -1.31232e-06
tianding = 161.25, fangwei = 0, ab = 0.321441, y = -0.946929, x = -0.321441, z = 0
tianding = 161.25, fangwei = 7.5, ab = 0.321441, y = -0.946929, x = -0.318691, z = 0.0419565
tianding = 161.25, fangwei = 15, ab = 0.321441, y = -0.946929, x = -0.310489, z = 0.0831951
tianding = 161.25, fangwei = 22.5, ab = 0.321441, y = -0.946929, x = -0.296973, z = 0.12301
tianding = 161.25, fangwei = 30, ab = 0.321441, y = -0.946929, x = -0.278376, z = 0.160721
tianding = 161.25, fangwei = 37.5, ab = 0.321441, y = -0.946929, x = -0.255017, z = 0.195681
tianding = 161.25, fangwei = 45, ab = 0.321441, y = -0.946929, x = -0.227294, z = 0.227293
tianding = 161.25, fangwei = 52.5, ab = 0.321441, y = -0.946929, x = -0.195681, z = 0.255016
tianding = 161.25, fangwei = 60, ab = 0.321441, y = -0.946929, x = -0.160721, z = 0.278376
tianding = 161.25, fangwei = 67.5, ab = 0.321441, y = -0.946929, x = -0.123011, z = 0.296973
tianding = 161.25, fangwei = 75, ab = 0.321441, y = -0.946929, x = -0.0831955, z = 0.310488
tianding = 161.25, fangwei = 82.5, ab = 0.321441, y = -0.946929, x = -0.0419569, z = 0.318691
tianding = 161.25, fangwei = 90, ab = 0.321441, y = -0.946929, x = -4.07456e-07, z = 0.321441
tianding = 161.25, fangwei = 97.5, ab = 0.321441, y = -0.946929, x = 0.0419561, z = 0.318691
tianding = 161.25, fangwei = 105, ab = 0.321441, y = -0.946929, x = 0.0831947, z = 0.310489
tianding = 161.25, fangwei = 112.5, ab = 0.321441, y = -0.946929, x = 0.12301, z = 0.296973
tianding = 161.25, fangwei = 120, ab = 0.321441, y = -0.946929, x = 0.16072, z = 0.278377
tianding = 161.25, fangwei = 127.5, ab = 0.321441, y = -0.946929, x = 0.195681, z = 0.255017
tianding = 161.25, fangwei = 135, ab = 0.321441, y = -0.946929, x = 0.227293, z = 0.227294
tianding = 161.25, fangwei = 142.5, ab = 0.321441, y = -0.946929, x = 0.255016, z = 0.195682
tianding = 161.25, fangwei = 150, ab = 0.321441, y = -0.946929, x = 0.278376, z = 0.160721
tianding = 161.25, fangwei = 157.5, ab = 0.321441, y = -0.946929, x = 0.296973, z = 0.123011
